Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Electric Fund,Salaries/Benefit Exp,Elec Trans Mnt Undergrd Line,Benefits Group Health Ins,22522,22522,2017,2017-5211-500-80871-00000000-584     -5055-
General Fund,Purchased Services,Genl Fd Public Communications,Advertising HOT Funded,104116,104116,2017,2017-1001-100-80150-00000000-00000000-5544-
General Fund,Salaries/Benefit Exp,Genl Fd Emergency Management,Benefits Group Life Insurance,307,307,2017,2017-1001-420-80410-00000000-00000000-5056
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Benefits Group Life Insurance,358,358,2017,2017-5211-500-80820-00000000-586     -5056
Truancy Prevention Fee Fund,Supplies Exp,Truancy Fd Operations,Supplies Office Supplies,1000,1000,2017,2017-3010-300-80240-00000000-00000000-5101-
Electric Fund,Salaries/Benefit Exp,Elec Eng Oper Super & Engineer,Benefits Workers Comp Ins,810,810,2017,2017-5211-500-80850-00000000-580     -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Benefits FICA,34557,34557,2017,2017-1001-100-80150-00000000-00000000-5050
General Fund,Utilities Exp,Genl Fd Adamson Lagoon,Utilities Wastewater,2140,2140,2017,2017-1001-530-81125-AQ733   -00000000-5403
General Fund,Supplies Exp,Genl Fd Traffic Engineering,Supplies Goodwill,850,850,2017,2017-1001-440-80710-00000000-00000000-5116
General Fund,Supplies Exp,Genl Fd Adult Kickball,Supplies Goodwill,106,106,2017,2017-1001-530-81125-SP758   -00000000-5116
Sanitation Fund,Misc Operating Exp,Sanitation Fd Residential,Misc Postage & Freight,550,550,2017,2017-5214-440-80780-00000000-00000000-5960
General Fund,Purchased Services,Genl Fd Business Services,Printing External,64,64,2017,2017-1001-600-81250-00000000-00000000-5582
General Fund,Purchased Services,Genl Fd Code Enforcement,Insurance Premiums,1609,1609,2017,2017-1001-450-80610-00000000-00000000-5520
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood GIS,Benefits Retirement,6822,6822,2017,2017-1001-430-80542-00000000-00000000-5051
Electric Fund,Salaries/Benefit Exp,Elec Adm Adm/Gen Salaries,Benefits Group Life Insurance,2025,2025,2017,2017-5211-500-80810-00000000-920     -5056
Utility Customer Service Fund,Utilities Exp,UCS Fd Bill/Coll,Utilities Wastewater,331,331,2017,2017-2226-300-80260-00000000-00000000-5403
General Fund,Salaries/Benefit Exp,Genl Fd Adult Softball,Salaries Overtime,2022,2022,2017,2017-1001-530-81125-SP752   -00000000-5014
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Benefits Workers Comp Ins,26116,26116,2017,2017-5214-440-80780-00000000-00000000-5057
General Fund,Purchased Services,Genl Fd City Manager,Travel Lodging/Transport/Other,12817,12817,2017,2017-1001-100-80130-00000000-00000000-5570
General Fund,Replacements Exp,Genl Fd Public Works Admin,Replacement Fleet,2400,2400,2017,2017-1001-440-80700-00000000-00000000-5600
Streets Projects Fund,G&A Transfer Out,Streets CIP Fd Non Dept Exp,G&A Transfer Out General Fd,417408,417408,2017,2017-4139-910-89100-00000000-00000000-6310
General Fund,Supplies Exp,Genl Fd Xtra Education,Supplies Clothing/Uniforms,900,900,2017,2017-1001-530-81125-XT794   -00000000-5120
Wastewater Fund,Purchased Services,WW General Plant Operations,Advertising Legal Notices,758,758,2017,2017-5213-520-80960-00000000-SGOPX   -5540-
General Fund,Supplies Exp,Genl Fd Develop Svcs Dev Coord,Supplies Awards,20,20,2017,2017-1001-430-80521-00000000-00000000-5121
General Fund,Salaries/Benefit Exp,Genl Fd Fire Suppression,Salaries Certification Pay,319107,319107,2017,2017-1001-420-80420-00000000-00000000-5017
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Dev Coord,Benefits Group Health Ins,86962,86962,2017,2017-1001-430-80521-00000000-00000000-5055
General Fund,Purchased Services,Genl Fd Fiscal Administration,Training Inhouse,1125,1125,2017,2017-1001-300-80200-00000000-00000000-5552
General Fund,G&A Transfer Out,Genl Fd Ultimate Frisbee,G&A Transfer Out General Fd,620,620,2017,2017-1001-530-81125-SP766   -00000000-6310-
General Fund,Supplies Exp,Genl Fd Operations East Dist,Supplies Medical,300,300,2017,2017-1001-530-81141-00000000-00000000-5111
General Fund,Purchased Services,Genl Fd IT Administration,Training Inhouse,181,181,2017,2017-1001-600-81200-00000000-00000000-5552
General Fund,Utilities Exp,Genl Fd Adamson Lagoon,Utilities Water,1505,1505,2017,2017-1001-530-81125-AQ733   -00000000-5402
Water Fund,Salaries/Benefit Exp,Water Source Operations,Benefits Retirement,499,499,2017,2017-5212-510-80900-00000000-WSORX   -5051-
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Gym Membership,243,243,2017,2017-1001-600-81200-00000000-00000000-5060
General Fund,Supplies Exp,Genl Fd Fire Prevention,Supplies Minor Equip/Tools,952,952,2017,2017-1001-420-80430-00000000-00000000-5102
Community Development Fund,Supplies Exp,Com Dev Fd Operations,Supplies Veh/Equip Fuel & Oil,551,551,2017,2017-3122-450-80630-00000000-00000000-5104
General Fund,Salaries/Benefit Exp,Genl Fd Operations South Dist,Benefits Gym Membership,121,121,2017,2017-1001-530-81142-00000000-00000000-5060
General Fund,Purchased Services,Genl Fd Civil Engineering,Insurance Premiums,4961,4961,2017,2017-1001-430-80510-00000000-00000000-5520
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Street Lights,Salaries Overtime,2274,2274,2017,2017-5211-500-80870-00000000-596     -5014-
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Goodwill,1550,1550,2017,2017-5214-440-80780-00000000-00000000-5116
Water Fund,Utilities Exp,Water General Operations,Utilities Local Phone,622,622,2017,2017-5212-510-80910-00000000-WGENX   -5404-
Electric Fund,Replacements Exp,Elec Adm Ofc Supp/Other,Replacement UPS,2507,2507,2017,2017-5211-500-80810-00000000-921     -5605
General Fund,Prof Svcs Exp,Genl Fd GIS,Prof Svcs Other Consulting,15000,15000,2017,2017-1001-600-81220-00000000-00000000-5308
Water Fund,Prof Svcs Exp,Water Distribution Operations,Prof Svcs Special Studies,225000,225000,2017,2017-5212-510-80910-00000000-WDISX   -5304-
Electric Fund,Prof Svcs Exp,Elec T&D Mnt Dist Overhead,Prof Svcs Tree Trimming,381565,381565,2017,2017-5211-500-80870-00000000-593     -5320
Sanitation Fund,Replacements Exp,Sanitation Fd Commercial,Replacement Fleet,832929,832929,2017,2017-5214-440-80781-00000000-00000000-5600
General Fund,Supplies Exp,Genl Fd Facilities Management,Supplies Safety,2271,2271,2017,2017-1001-440-80720-00000000-00000000-5122
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Benefits Gym Membership,243,243,2017,2017-1001-600-81240-00000000-00000000-5060
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Teen,Salaries Cell Allowance,59,59,2017,2017-1001-530-81125-CT840   -00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Benefits FICA,17828,17828,2017,2017-1001-530-81140-00000000-00000000-5050
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Legal,25000,25000,2017,2017-5212-510-80900-00000000-WGENX   -5300-
General Fund,Purchased Services,Genl Fd Tourism Athletics,Insurance Premiums,3017,3017,2017,2017-1001-530-81122-00000000-00000000-5520
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Street Lights,Salaries Cell Allowance,219,219,2017,2017-5211-500-80870-00000000-596     -5021-
General Fund,Misc Operating Exp,Genl Fd Fire Prevention,Misc Subscriptions,2491,2491,2017,2017-1001-420-80430-00000000-00000000-5935
General Fund,Replacements Exp,Genl Fd City Manager,Replacement Virtual Servers,1820,1820,2017,2017-1001-100-80130-00000000-00000000-5601-
General Fund,Utilities Exp,Genl Fd Capital Projects Oper,Utilities Water,561,561,2017,2017-1001-440-80730-00000000-00000000-5402
General Fund,Salaries/Benefit Exp,Genl Fd Planning,Benefits Group Life Insurance,1116,1116,2017,2017-1001-430-80530-00000000-00000000-5056
Sanitation Fund,Supplies Exp,Sanitation Fd Commercial,Supplies Office Supplies,100,100,2017,2017-5214-440-80781-00000000-00000000-5101
General Fund,Prof Svcs Exp,Genl Fd SW Center   Teen,Prof Svcs Janitorial,3884,3884,2017,2017-1001-530-81125-CT840   -00000000-5309-
Wastewater Fund,Maintenance Exp,WW General Plant Maintenace,Maint Grounds,9060,9060,2017,2017-5213-520-80950-00000000-SGMTM   -5212-
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Car Allowance,9653,9653,2017,2017-1001-600-81200-00000000-00000000-5061
General Fund,Salaries/Benefit Exp,Genl Fd Public Works Admin,Salaries Cell Allowance,702,702,2017,2017-1001-440-80700-00000000-00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Salaries Cell Allowance,1756,1756,2017,2017-1001-440-80730-00000000-00000000-5021
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Benefits FICA,10103,10103,2017,2017-5211-500-80820-00000000-586     -5050
General Fund,Purchased Services,Genl Fd E Government,Training Outside,4266,4266,2017,2017-1001-600-81210-00000000-00000000-5551
General Fund,Supplies Exp,Genl Fd Jail,Supplies Computer Hdw/Sftw/Oth,3130,3130,2017,2017-1001-410-80355-00000000-00000000-5112-
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Commercial,Benefits Workers Comp Ins,13012,13012,2017,2017-5214-440-80781-00000000-00000000-5057
Electric Fund,Purchased Power,Elec Adm Purchsed Power Other,Util Pur Svc Wheeling Charges,6750000,6750000,2017,2017-5211-500-80810-00000000-565     -5421-
General Fund,Supplies Exp,Genl Fd Develop Svcs Dev Coord,Supplies Office Furniture,400,400,2017,2017-1001-430-80521-00000000-00000000-5103
General Fund,Maintenance Exp,Genl Fd Operations Admin,Maint Recreational Equip,27920,27920,2017,2017-1001-530-81140-00000000-00000000-5208
General Fund,Misc Operating Exp,Genl Fd Special Operations,Misc Other,505,505,2017,2017-1001-410-80360-00000000-00000000-5990
General Fund,Supplies Exp,Genl Fd Lincoln Center,Supplies Office Supplies,2340,2340,2017,2017-1001-530-81125-CT850   -00000000-5101
General Fund,Misc Operating Exp,Genl Fd Technology Services,Misc Memberships,200,200,2017,2017-1001-600-81240-00000000-00000000-5930
General Fund,Purchased Services,Genl Fd Uniform Patrol,Printing External,2500,2500,2017,2017-1001-410-80310-00000000-00000000-5582-
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure Prem Critical Illness,66811,66811,2017,2017-2222-910-89100-00000000-00000000-6131
Electric Fund,Salaries/Benefit Exp,Elec T&D Overhead Line,Salaries Cell Allowance,418,418,2017,2017-5211-500-80870-00000000-583     -5021-
Fleet Maintenance Fund,Maintenance Exp,Fleet Fd Parts,Maint Miscellaneous,5000,5000,2017,2017-2227-440-80790-00000000-00000000-5299
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Benefits Workers Comp Ins,1725,1725,2017,2017-5211-500-80820-00000000-586     -5057
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Salaries Full Time Labor,266752,266752,2017,2017-1001-600-81200-00000000-00000000-5011
General Fund,Salaries/Benefit Exp,Genl Fd Budget/Financial Rep,Salaries Cell Allowance,350,350,2017,2017-1001-300-80230-00000000-00000000-5021-
Juvenile Case Manager Fee Fund,Misc Operating Exp,Juv Mgr Fd Operations,Misc Postage & Freight,5500,5500,2017,2017-3009-300-80240-00000000-00000000-5960
General Fund,Salaries/Benefit Exp,Genl Fd Communication Services,Benefits Retirement,35780,35780,2017,2017-1001-600-81270-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Salaries Full Time Labor,444114,444114,2017,2017-1001-600-81250-00000000-00000000-5011
Juvenile Case Manager Fee Fund,Salaries/Benefit Exp,Juv Mgr Fd Operations,Benefits Group Health Ins,19324,19324,2017,2017-3009-300-80240-00000000-00000000-5055
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Benefits Workers Comp Ins,2484,2484,2017,2017-5213-520-80950-00000000-SCMTM   -5057-
General Fund,Prof Svcs Exp,Genl Fd Economic Development,Prof Svcs Legal,15000,15000,2017,2017-1001-100-80170-00000000-00000000-5300-
General Fund,Replacements Exp,Genl Fd Technology Services,Replacement UPS,3693,3693,2017,2017-1001-600-81240-00000000-00000000-5605
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Street Lights,Benefits FICA,4553,4553,2017,2017-5211-500-80870-00000000-596     -5050-
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure Prem Aggreg Stop Loss,64797,64797,2017,2017-2222-910-89100-00000000-00000000-6130
General Fund,Purchased Services,Genl Fd Lincoln Center,Rent/Lease Miscellaneous,510,510,2017,2017-1001-530-81125-CT850   -00000000-5509
General Fund,Misc Operating Exp,Genl Fd Support Services,Misc Postage & Freight,5417,5417,2017,2017-1001-410-80340-00000000-00000000-5960
General Fund,Purchased Services,Genl Fd Internal Auditor,Travel Lodging/Transport/Other,2780,2780,2017,2017-1001-100-80120-00000000-00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Judiciary,Salaries Full Time Labor,148382,148382,2017,2017-1001-300-80250-00000000-00000000-5011
General Fund,Prof Svcs Exp,Genl Fd Budget/Financial Rep,Prof Svcs Audit,108000,108000,2017,2017-1001-300-80230-00000000-00000000-5301
General Fund,Purchased Services,Genl Fd Emergency Management,Insurance Premiums,844,844,2017,2017-1001-420-80410-00000000-00000000-5520
General Fund,Supplies Exp,Genl Fd Comm & Nhood Greenways,Supplies Computer Hdw/Sftw/Oth,334,334,2017,2017-1001-430-80541-00000000-00000000-5112
General Fund,Salaries/Benefit Exp,Genl Fd Internal Auditor,Benefits Group Health Ins,19383,19383,2017,2017-1001-100-80120-00000000-00000000-5055
General Fund,Utilities Exp,Genl Fd SW Center   Teen,Utilities Water,836,836,2017,2017-1001-530-81125-CT840   -00000000-5402
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Operations,Benefits Workers Comp Ins,3176,3176,2017,2017-5213-520-80960-00000000-SGOPX   -5057-
General Fund,Supplies Exp,Genl Fd Fire Suppression,Supplies Office Furniture,500,500,2017,2017-1001-420-80420-00000000-00000000-5103
General Fund,Salaries/Benefit Exp,Genl Fd Operations East Dist,Benefits Group Life Insurance,1672,1672,2017,2017-1001-530-81141-00000000-00000000-5056
General Fund,Purchased Services,Genl Fd Civil Engineering,Advertising Legal Notices,500,500,2017,2017-1001-430-80510-00000000-00000000-5540
Electric Fund,Salaries/Benefit Exp,Elec Sub Mnt Station Eq Dist,Salaries Full Time Labor,125187,125187,2017,2017-5211-500-80820-00000000-592     -5011-
Electric Fund,Salaries/Benefit Exp,Elec EM Customer Assistance,Benefits FICA,5818,5818,2017,2017-5211-500-80860-00000000-908     -5050
Property & Casualty Ins Fund,Prof Svcs Exp,P&C Ins Fd Operations,Prof Svcs Miscellaneous,11550,11550,2017,2017-2221-100-80160-00000000-00000000-5399
General Fund,Salaries/Benefit Exp,Genl Fd Criminal Investigation,Salaries Standby,25000,25000,2017,2017-1001-410-80320-00000000-00000000-5016
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Benefits Retirement,73458,73458,2017,2017-1001-300-80210-00000000-00000000-5051
Wastewater Fund,Misc Operating Exp,WW General Plant Operations,Misc Memberships,1555,1555,2017,2017-5213-520-80960-00000000-SGOPX   -5930-
General Fund,Supplies Exp,Genl Fd Network Services,Supplies IT Sfw Replace,20605,20605,2017,2017-1001-600-81260-00000000-00000000-5133-
General Fund,Prof Svcs Exp,Genl Fd Legal,Prof Svcs Pre Employment Costs,150,150,2017,2017-1001-100-80140-00000000-00000000-5307
Utility Customer Service Fund,Supplies Exp,UCS Fd Meter Svcs,Supplies Clothing/Uniforms,625,625,2017,2017-2226-300-80270-00000000-00000000-5120
General Fund,Purchased Services,Genl Fd Develop Svcs Bldg,Rent/Lease Building/Structure,2553,2553,2017,2017-1001-430-80520-00000000-00000000-5501
Electric Fund,Salaries/Benefit Exp,Elec Adm Adm/Gen Salaries,Salaries Full Time Labor,731021,731021,2017,2017-5211-500-80810-00000000-920     -5011
Sanitation Fund,Purchased Services,Sanitation Fd Residential,Travel Lodging/Transport/Other,5500,5500,2017,2017-5214-440-80780-00000000-00000000-5570
Electric Fund,Supplies Exp,Elec Sub Mnt Comp Hdw Trans,Supplies Computer Hdw/Sftw/Oth,679,679,2017,2017-5211-500-80820-00000000-569.1   -5112
General Fund,Utilities Exp,Genl Fd Develop Svcs Dev Coord,Utilities Phone Long Distance,725,725,2017,2017-1001-430-80521-00000000-00000000-5405
Debt Service Fund,Debt Expense,Debt Svc Fd GO2012R,Debt Principal Pmts GOB,605000,605000,2017,2017-1151-910-89210-GO2012R -00000000-6633
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Maint,Benefits Gym Membership,50,50,2017,2017-5212-510-80900-00000000-WPMPM   -5060-
Electric Fund,Maintenance Exp,Elec Whse Maint General Plant,Maint Buildings/Structures,370,370,2017,2017-5211-500-80800-00000000-935     -5211
General Fund,Purchased Services,Genl Fd Uniform Patrol,Advertising Legal Notices,400,400,2017,2017-1001-410-80310-00000000-00000000-5540
Fleet Maintenance Fund,Utilities Exp,Fleet Fd Admin,Utilities Electric,6036,6036,2017,2017-2227-440-80791-00000000-00000000-5400
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Street Lights,Salaries Standby,1587,1587,2017,2017-5211-500-80870-00000000-596     -5016-
Wastewater Fund,Replacements Exp,WW General Plant Maintenance,Replacement Fleet,182404,182404,2017,2017-5213-520-80960-00000000-SGMTM   -5600-
General Fund,Salaries/Benefit Exp,Genl Fd Youth Flag Football,Benefits Workers Comp Ins,1,1,2017,2017-1001-530-81125-SP755   -00000000-5057
General Fund,Supplies Exp,Genl Fd Police Administration,Supplies Clothing/Uniforms,1800,1800,2017,2017-1001-410-80300-00000000-00000000-5120
General Fund,Supplies Exp,Genl Fd Planning,Supplies Computer Hdw/Sftw/Oth,345,345,2017,2017-1001-430-80530-00000000-00000000-5112
General Fund,Purchased Services,Genl Fd Recruiting & Training,Printing External,1607,1607,2017,2017-1001-410-80330-00000000-00000000-5582
General Fund,Indirect Exp,Genl Fd Youth Flag Football,Recreation Indirect PARD Admin,6796,6796,2017,2017-1001-530-81125-SP755   -00000000-5810
General Fund,Utilities Exp,Genl Fd Support Services,Utilities Wastewater,1564,1564,2017,2017-1001-410-80340-00000000-00000000-5403
General Fund,Supplies Exp,Genl Fd Communication Services,Supplies Medical,100,100,2017,2017-1001-600-81270-00000000-00000000-5111
General Fund,Prof Svcs Exp,Genl Fd GIS,Prof Svcs Miscellaneous,1084,1084,2017,2017-1001-600-81220-00000000-00000000-5399
General Fund,Misc Operating Exp,Genl Fd Traffic Signs/Markings,Misc Postage & Freight,200,200,2017,2017-1001-440-80750-00000000-00000000-5960
Economic Development Fund,Prof Svcs Exp,ED Fd Econ Dev Operations,Prof Svcs Other Consulting,76500,76500,2017,2017-1002-100-80170-00000000-00000000-5308-
